key,translation
None,None
Pick,掘
a_wild_animal_is_about_to_attack_your_settlement,野生動物即將攻擊您的聚落！
a_wild_bee_hive_has_appeared_near_you,你附近有一個野生蜂巢。
accept,同意
achievement_unlocked,New achievement '{0}'!
achievements,Achievements
achievements_unlocked_x_slash_y,Achievements unlocked {0}/{1}
achv_desc_ARE_YOU_SURE_IT_DOESNT_STINK,Cook food using dried manure as fuel
achv_desc_BACK_TO_THE_FUTURE,Start the time machine and go back to the future
achv_desc_BEST_FRIENDS_FOREVER,Send a settler with a dog to hunt
achv_desc_CITY,Have 60 people or more in the settlement
achv_desc_DENIED,Refuse to accept a nomad into the settlement
achv_desc_ENGINE_OF_PROGRESS,Research all technologies
achv_desc_FIRST_BREAD,Bake your first flatbread
achv_desc_FIRST_BRONZE,Smelt your first bronze
achv_desc_FIRST_CERAMIC,Fire your first ceramic pot
achv_desc_FIRST_COPPER,Smelt your first copper
achv_desc_FIRST_IRON,Forge your first iron
achv_desc_HOMEMADE_PRODUCTION,Sell 10 units of bread
achv_desc_I_SURVIVED_100_DAYS,Survive 100 days with at least one settler
achv_desc_MULTITOOL,One of the settlers must equip at least 3 tools
achv_desc_TRIBE,Have 15 people or more in the settlement
achv_desc_VILLAGE,Have 30 people or more in the settlement
achv_name_ARE_YOU_SURE_IT_DOESNT_STINK,Are you sure it doesn't stink?
achv_name_BACK_TO_THE_FUTURE,Back to the future
achv_name_BEST_FRIENDS_FOREVER,Best Friends Forever
achv_name_CITY,City
achv_name_DENIED,Denied
achv_name_ENGINE_OF_PROGRESS,Engine of progress
achv_name_FIRST_BREAD,First bread
achv_name_FIRST_BRONZE,First bronze
achv_name_FIRST_CERAMIC,First ceramic
achv_name_FIRST_COPPER,First copper
achv_name_FIRST_IRON,First iron
achv_name_HOMEMADE_PRODUCTION,Homemade production
achv_name_I_SURVIVED_100_DAYS,I survived 100 days
achv_name_MULTITOOL,Multitool
achv_name_TRIBE,Tribe
achv_name_VILLAGE,Village
adult,成年
age,年齡
agriculture,農業
alcoholic_drinks,酒精飲料
all,全部
allows_creatures_to_move_faster,加快移動速度。
animal_fat,動物脂肪
animal_female,母
animal_filter,篩選動物
animal_male,公
animal_pen,畜欄
animal_pen_description,讓動物吃飯及休息。
animals,動物
animals_domestication,馴化動物
assign_a_pet,指派寵物
assign_a_settler,Assign a settler
assign_to,指派給 {0}
assign_x_to_this_hut,Assign {0} to this hut
assigned_to,已指派給 {0}
attack,攻擊
aurochs,原牛
automatically_mine_spawned_deposits,自動開採生成的礦物。
autumn,秋
back,返回
barley,大麥
barley_seeds,大麥種子
barn,穀倉
base_speed,基礎速度
basket,籃子
bee_hive,蜂巢
bee_hive_description,生產蜂蜜的效率是野生蜂巢的兩倍。
beekeeping,養蜂
beeswax,蜂蠟
bloomery,鍛造爐
boar,野豬
bone,骨頭
bone_harpoon,骨魚叉
bone_sickle,骨鐮刀
bone_spear,骨矛
bone_tools,骨製工具
bow,弓
brewing,釀造
brick,磚塊
brick_floor,磚地板
brick_wall,磚牆
bridge,橋梁
bronze,青銅錠
bronze_age,青銅時代
bronze_axe,青銅斧
bronze_harpoon,青銅魚叉
bronze_hoe,青銅鋤頭
bronze_pick,青銅鎬
bronze_sickle,青銅鐮刀
bronze_smelting,冶煉青銅礦
bronze_spear,青銅矛
build_irrigation_canal,修建水渠
building,建造
bunch_of_peas,一把豌豆
burial,葬禮
buying,購買
calm,平靜
cancel,取消
cancel_x,Cancel: {0}
capacity,容量
cattle,牛
causes,原因
ceramic_pot,陶罐
chainmail,鏈甲
chalcolithic,紅銅時代
chance,機會
charcoal,木炭
charcoal_kiln,炭窯
cheese,奶酪
cheesemaking,製作起士
child,幼年
chop,砍伐
clay,黏土
clay_barn,黏土倉庫
clay_deposit,黏土礦床
clay_hut,黏土屋
clay_oven,黏土窯爐
clean_up_manure,清理糞便
clone,複製
close,關
cloth,布料
clothes,服裝
come_here,來這裡
command_line,指令列
connected,已連接
consumption,消耗
containers,容器
cooked_fish,熟魚
cooked_meat,熟肉
cooking,料理
copper,銅錠
copper_axe,銅斧
copper_deposit,銅礦床
copper_harpoon,銅魚叉
copper_hoe,銅鋤頭
copper_ore,銅礦
copper_pick,銅鎬
copper_reaper,銅收割機
copper_sickle,銅鐮刀
copper_smelting,冶煉銅礦
copper_smithy,銅鍛造場
copper_spear,銅矛
copy,複製
copy_settings,複製設定
cozy_hut,舒適的小屋
cozy_tent,舒適的帳篷
crafter,製作台
crafting,製造
create,創造
credits,製作人員
crossbow,弩
crushed_copper_ore,碎銅礦
crushed_iron_ore,碎鐵礦
crushed_tin_ore,碎錫礦
culinary_ingredients,料理食材
cures,治療
cut,收割
cut_automatically,自動收割
cut_completely,完全收割
cut_now,現在收割
dandelion,蒲公英
day,天
days,天
days_until_aging_x,離增齡還有: {0} 天
days_until_death_x,離死亡還有: {0} 天
decline,衰退
defense,防禦
depends_on_wind_speed,取決於風速。
deposit,礦床
destruct,拆除
destruct_irrigation_canal,拆除水渠
destruct_surface,拆除地板
dirt_path,土路
dirty_animal_pen,骯髒的畜欄
disable_all,全部停用
disband,解散
disconnected,未連接
dog,狗
dolmen,巨石墓
domesticate,馴化
drop_spindle,紡線錘
dry_fish,魚乾
