key,translation
None,None
Pick,Spitzhacke
a_wild_animal_is_about_to_attack_your_settlement,Ein wildes Tier steht im Begriff
a_wild_bee_hive_has_appeared_near_you,Ein wilder Bienenstock ist in der Nähe erschienen
accept,Annehmen
achievement_unlocked,New achievement '{0}'!
achievements,Achievements
achievements_unlocked_x_slash_y,Achievements unlocked {0}/{1}
achv_desc_ARE_YOU_SURE_IT_DOESNT_STINK,Cook food using dried manure as fuel
achv_desc_BACK_TO_THE_FUTURE,Start the time machine and go back to the future
achv_desc_BEST_FRIENDS_FOREVER,Send a settler with a dog to hunt
achv_desc_CITY,Have 60 people or more in the settlement
achv_desc_DENIED,Refuse to accept a nomad into the settlement
achv_desc_ENGINE_OF_PROGRESS,Research all technologies
achv_desc_FIRST_BREAD,Bake your first flatbread
achv_desc_FIRST_BRONZE,Smelt your first bronze
achv_desc_FIRST_CERAMIC,Fire your first ceramic pot
achv_desc_FIRST_COPPER,Smelt your first copper
achv_desc_FIRST_IRON,Forge your first iron
achv_desc_HOMEMADE_PRODUCTION,Sell 10 units of bread
achv_desc_I_SURVIVED_100_DAYS,Survive 100 days with at least one settler
achv_desc_MULTITOOL,One of the settlers must equip at least 3 tools
achv_desc_TRIBE,Have 15 people or more in the settlement
achv_desc_VILLAGE,Have 30 people or more in the settlement
achv_name_ARE_YOU_SURE_IT_DOESNT_STINK,Are you sure it doesn't stink?
achv_name_BACK_TO_THE_FUTURE,Back to the future
achv_name_BEST_FRIENDS_FOREVER,Best Friends Forever
achv_name_CITY,City
achv_name_DENIED,Denied
achv_name_ENGINE_OF_PROGRESS,Engine of progress
achv_name_FIRST_BREAD,First bread
achv_name_FIRST_BRONZE,First bronze
achv_name_FIRST_CERAMIC,First ceramic
achv_name_FIRST_COPPER,First copper
achv_name_FIRST_IRON,First iron
achv_name_HOMEMADE_PRODUCTION,Homemade production
achv_name_I_SURVIVED_100_DAYS,I survived 100 days
achv_name_MULTITOOL,Multitool
achv_name_TRIBE,Tribe
achv_name_VILLAGE,Village
adult,Erwachsen
age,Alter
agriculture,Landwirtschaft
alcoholic_drinks,Alkoholische Getränke
all,Alle
allows_creatures_to_move_faster,Erlaubt sich schneller fortzubewegen
animal_fat,Tierfett
animal_female,Weiblich
animal_filter,Tierfilter
animal_male,Männlich
animal_pen,Tierpferch
animal_pen_description,Zum Ausruhen und Füttern der Tiere
animals,Tiere
animals_domestication,Domestizierung von Tieren
assign_a_pet,Assign a pet
assign_a_settler,Assign a settler
assign_to,Assign to {0}
assign_x_to_this_hut,Assign {0} to this hut
assigned_to,Assigned to {0}
attack,Anrgiff
aurochs,Auerochse
auto_clean_pen,Auto-clean pen
auto_collect_honey,Automatically collect honey
auto_collect_wild_honey,Automatically collect wild honey
automatically_empty_the_trap,Automatically empty the trap
automatically_mine_spawned_deposits,Automatischer Abbau von gespawnten Vorkommen
autumn,Herbst
back,Zurück
barley,Gerste
barley_seeds,Gerstensamen
barn,Scheune
base_speed,Basisgeschwindigkeit
basket,Korb
bee_hive,Bienenstock
bee_hive_description,Produziert doppelt so viel Honig wie ein wilder Bienenstock
beekeeping,Imkerei
beeswax,Bienenwachs
bloomery,Rennofen
boar,Wildschwein
bone,Knochen
bone_harpoon,Knochenharpune
bone_sickle,Knochensichel
bone_spear,Knochenspeer
bone_tools,Knochenwerkzege
bow,Bogen
brewing,Brauen
brick,Ziegel
brick_floor,Ziegelboden
brick_wall,Ziegelmauer
bridge,Brücke
bronze,Bronze
bronze_age,Bronzezeit
bronze_axe,Bronzeaxt
bronze_harpoon,Bronzeharpune
bronze_hoe,Bronzehacke
bronze_pick,Bronzespitzhacke
bronze_sickle,Bronzesichel
bronze_smelting,Bronze schmelzen
bronze_spear,Bronzespeer
build_irrigation_canal,Bewässerungskanal bauen
building,Bauen
bunch_of_peas,Bunch of peas
burial,Beerdigung
buying,Buying
calm,Calm
cancel,Abbrechen
cancel_x,Cancel: {0}
capacity,Kapazität
catch_fish,Catch fish
cattle,Rind
causes,Ursachen
ceramic_pot,Keramikkrug
chainmail,Kettenhemd
