key,translation
None,None
Pick,Pick
a_wild_animal_is_about_to_attack_your_settlement,A wild animal is about to attack your settlement!
a_wild_bee_hive_has_appeared_near_you,A wild bee hive has appeared near you
accept,Accept
achievement_unlocked,New achievement '{0}'!
achievements,Achievements
achievements_unlocked_x_slash_y,Achievements unlocked {0}/{1}
achv_desc_ARE_YOU_SURE_IT_DOESNT_STINK,Cook food using dried manure as fuel
achv_desc_BACK_TO_THE_FUTURE,Start the time machine and go back to the future
achv_desc_BEST_FRIENDS_FOREVER,Send a settler with a dog to hunt
achv_desc_CITY,Have 60 people or more in the settlement
achv_desc_DENIED,Refuse to accept a nomad into the settlement
achv_desc_ENGINE_OF_PROGRESS,Research all technologies
achv_desc_FIRST_BREAD,Bake your first flatbread
achv_desc_FIRST_BRONZE,Smelt your first bronze
achv_desc_FIRST_CERAMIC,Fire your first ceramic pot
achv_desc_FIRST_COPPER,Smelt your first copper
achv_desc_FIRST_IRON,Forge your first iron
achv_desc_HOMEMADE_PRODUCTION,Sell 10 units of bread
achv_desc_I_SURVIVED_100_DAYS,Survive 100 days with at least one settler
achv_desc_MULTITOOL,One of the settlers must equip at least 3 tools
achv_desc_TRIBE,Have 15 people or more in the settlement
achv_desc_VILLAGE,Have 30 people or more in the settlement
achv_name_ARE_YOU_SURE_IT_DOESNT_STINK,Are you sure it doesn't stink?
achv_name_BACK_TO_THE_FUTURE,Back to the future
achv_name_BEST_FRIENDS_FOREVER,Best Friends Forever
achv_name_CITY,City
achv_name_DENIED,Denied
achv_name_ENGINE_OF_PROGRESS,Engine of progress
achv_name_FIRST_BREAD,First bread
achv_name_FIRST_BRONZE,First bronze
achv_name_FIRST_CERAMIC,First ceramic
achv_name_FIRST_COPPER,First copper
achv_name_FIRST_IRON,First iron
achv_name_HOMEMADE_PRODUCTION,Homemade production
achv_name_I_SURVIVED_100_DAYS,I survived 100 days
achv_name_MULTITOOL,Multitool
achv_name_TRIBE,Tribe
achv_name_VILLAGE,Village
adult,Adult
age,Age
agriculture,Agriculture
alcoholic_drinks,Alcoholic drinks
all,All
allows_creatures_to_move_faster,Allows creatures to move faster
animal_fat,Animal fat
animal_female,Female
animal_filter,Animal filter
animal_male,Male
animal_pen,Animal pen
animal_pen_description,Used for rest and feeding animals
animals,Animals
animals_domestication,Animals domestication
assign_a_pet,Assign a pet
assign_a_settler,Assign a settler
assign_to,Assign to {0}
assign_x_to_this_hut,Assign {0} to this hut
assigned_to,Assigned to {0}
attack,Attack
aurochs,Aurochs
auto_clean_pen,Auto-clean pen
auto_collect_honey,Automatically collect honey
auto_collect_wild_honey,Automatically collect wild honey
auto_harvest,Auto-harvest
automatically_empty_the_trap,Automatically empty the trap
automatically_mine_spawned_deposits,Automatically mine spawned deposits
autumn,Autumn
back,Back
barley,Barley
barley_seeds,Barley seeds
barn,Barn
base_speed,Base speed
basket,Basket
bee_hive,Bee hive
bee_hive_description,Produces honey twice as efficiently as a wild hive
beekeeping,Beekeeping
beeswax,Beeswax
bloomery,Bloomery
boar,Boar
bone,Bone
bone_harpoon,Bone harpoon
bone_sickle,Bone sickle
bone_spear,Bone spear
bone_tools,Bone tools
bow,Bow
brewing,Brewing
brick,Brick
brick_floor,Brick floor
brick_wall,Brick wall
bridge,Bridge
bronze,Bronze
bronze_age,Bronze Age
bronze_axe,Bronze axe
bronze_harpoon,Bronze harpoon
bronze_hoe,Bronze hoe
bronze_pick,Bronze pick
bronze_sickle,Bronze sickle
bronze_smelting,Bronze smelting
bronze_spear,Bronze spear
build_irrigation_canal,Build irrigation canal
building,Building
bunch_of_peas,Bunch of peas
burial,Burial
buying,Buying
calm,Calm
cancel,Cancel
cancel_x,Cancel: {0}
capacity,Capacity
catch_fish,Catch fish
cattle,Cattle
causes,Causes
ceramic_pot,Ceramic pot
chainmail,Chainmail
chalcolithic,Chalcolithic
