key,translation
None,None
Pick,Pioche
a_wild_animal_is_about_to_attack_your_settlement,Un animal sauvage s'apprête à attaquer votre colonie !
a_wild_bee_hive_has_appeared_near_you,Une ruche d'abeilles sauvages est apparue près de chez vous
accept,Accepter
achievement_unlocked,New achievement '{0}'!
achievements,Achievements
achievements_unlocked_x_slash_y,Achievements unlocked {0}/{1}
achv_desc_ARE_YOU_SURE_IT_DOESNT_STINK,Cook food using dried manure as fuel
achv_desc_BACK_TO_THE_FUTURE,Start the time machine and go back to the future
achv_desc_BEST_FRIENDS_FOREVER,Send a settler with a dog to hunt
achv_desc_CITY,Have 60 people or more in the settlement
achv_desc_DENIED,Refuse to accept a nomad into the settlement
achv_desc_ENGINE_OF_PROGRESS,Research all technologies
achv_desc_FIRST_BREAD,Bake your first flatbread
achv_desc_FIRST_BRONZE,Smelt your first bronze
achv_desc_FIRST_CERAMIC,Fire your first ceramic pot
achv_desc_FIRST_COPPER,Smelt your first copper
achv_desc_FIRST_IRON,Forge your first iron
achv_desc_HOMEMADE_PRODUCTION,Sell 10 units of bread
achv_desc_I_SURVIVED_100_DAYS,Survive 100 days with at least one settler
achv_desc_MULTITOOL,One of the settlers must equip at least 3 tools
achv_desc_TRIBE,Have 15 people or more in the settlement
achv_desc_VILLAGE,Have 30 people or more in the settlement
achv_name_ARE_YOU_SURE_IT_DOESNT_STINK,Are you sure it doesn't stink?
achv_name_BACK_TO_THE_FUTURE,Back to the future
achv_name_BEST_FRIENDS_FOREVER,Best Friends Forever
achv_name_CITY,City
achv_name_DENIED,Denied
achv_name_ENGINE_OF_PROGRESS,Engine of progress
achv_name_FIRST_BREAD,First bread
achv_name_FIRST_BRONZE,First bronze
achv_name_FIRST_CERAMIC,First ceramic
achv_name_FIRST_COPPER,First copper
achv_name_FIRST_IRON,First iron
achv_name_HOMEMADE_PRODUCTION,Homemade production
achv_name_I_SURVIVED_100_DAYS,I survived 100 days
achv_name_MULTITOOL,Multitool
achv_name_TRIBE,Tribe
achv_name_VILLAGE,Village
adult,Adulte
age,Âge
agriculture,Agriculture
alcoholic_drinks,Boissons alcoolisées
all,Tout
allows_creatures_to_move_faster,Permet de se déplacer plus rapidement
animal_fat,Graisse animale
animal_female,Femelle
animal_filter,Filtre animalier
animal_male,Mâle
animal_pen,Enclos pour animaux
animal_pen_description,Utilisé pour le repos et l'alimentation des animaux
animals,Animaux
animals_domestication,Domestication des animaux
assign_a_pet,Attribuer un compagnon
assign_a_settler,Assign a settler
assign_to,Attribué à {0}
assign_x_to_this_hut,Assign {0} to this hut
assigned_to,Attribué à {0}
attack,Attaquer
aurochs,Aurochs
auto_clean_pen,Auto-clean pen
auto_collect_honey,Automatically collect honey
auto_collect_wild_honey,Automatically collect wild honey
auto_harvest,Auto-harvest
automatically_empty_the_trap,Automatically empty the trap
automatically_mine_spawned_deposits,Miner automatiquement les gisements créés
autumn,Automne
back,Précédent
barley,Orge
barley_seeds,Graines d'orge
barn,Grange
base_speed,Vitesse de base
basket,Panier
bee_hive,Ruche d'abeilles
bee_hive_description,Produit du miel deux fois plus efficacement qu'une ruche sauvage
beekeeping,Apiculture
beeswax,Cire d'abeille
bloomery,Bas fourneau
boar,Sanglier
bone,Os
bone_harpoon,Harpon en os
bone_sickle,Faucille en os
bone_spear,Lance en os
bone_tools,Outils en os
bow,Arc
brewing,Brassage
brick,Brique
brick_floor,Sol en brique
brick_wall,Mur en brique
bridge,Pont
bronze,Bronze
bronze_age,Âge du Bronze
bronze_axe,Hache en bronze
bronze_harpoon,Harpon en bronze
bronze_hoe,Houe en bronze
bronze_pick,Pioche en bronze
bronze_sickle,Faucille en bronze
bronze_smelting,Fonderie de bronze
bronze_spear,Lance en bronze
build_irrigation_canal,Construire canal d'irrigation
building,Construction
bunch_of_peas,Botte de petits pois
burial,Enterrement
buying,Buying
calm,Calme
cancel,Annuler
cancel_x,Cancel: {0}
capacity,Capacité
catch_fish,Catch fish
cattle,Vache
causes,Raisons
ceramic_pot,Jarre en céramique
chainmail,Cotte de maille
chalcolithic,Chalcolithique
chance,Chance
charcoal,Charbon
charcoal_kiln,Four à charbon
cheese,Fromage
cheesemaking,Fabrication du fromage
child,Enfant
chop,Couper
clay,Argile
clay_barn,Grange en argile
clay_deposit,Gisement d'argile
clay_hut,Hutte en argile
clay_oven,Four en argile
clone,Cloner
close,Fermer
cloth,Tissu
clothes,Vêtements
come_here,Venir ici
command_line,ligne de commande
connected,Connecté
consumption,Consommation
containers,Contenants
cooked_fish,Poisson cuit
cooked_meat,Viande cuite
cooking,Cuisine
copper,Cuivre
copper_axe,Hache en cuivre
copper_deposit,Gisement de cuivre
copper_harpoon,Harpon en cuivre
copper_hoe,Houe en cuivre
copper_ore,Minerai de cuivre
copper_pick,Pioche en cuivre
copper_reaper,Faucheuse en cuivre
copper_sickle,Faucille en cuivre
copper_smelting,Fonderie de cuivre
copper_smithy,Forge de cuivre
copper_spear,Lance en cuivre
copy,Copier
copy_settings,Copier paramètres
cozy_hut,Hutte confortable
cozy_tent,Tente confortable
craft_an_item,Craft an item
crafter,Établi
crafting,Artisanat
create,Créer
credits,Crédits
crossbow,Arbalète
crushed_copper_ore,Minerai de cuivre broyé
crushed_iron_ore,Minerai de fer broyé
crushed_tin_ore,Minerai d'étain broyé
culinary_ingredients,Ingrédients culinaires
cures,Remèdes
cut,Tailler
cut_automatically,Tailler automatiquement
cut_completely,Tailler complètement
cut_now,Tailler maintenant
dandelion,Pissenlit
day,Jour
days,Jours
days_until_aging_x,Days until aging: {0}
days_until_death_x,Days until death: {0}
decline,Refuser
defense,Défense
depends_on_wind_speed,Dépend de la vitesse du vent
deposit,Dépôt
destruct,Détruire
destruct_irrigation_canal,Détruire canal d'irrigation
destruct_surface,Destruct surface
destruct_wall,Destruct wall
dirt_path,Chemin de terre
dirty_animal_pen,Enclos pour animal sale
disable_all,Désactiver tout
disband,Démanteler
disconnected,Déconnecté
dog,Chien
dolmen,Dolmen
domesticate,Domestiquer
domestication_chance_x_percent,Domestication chance: {0}%
drop_spindle,Fuseau
dry_fish,Poisson séché
dry_manure_fuel,Bouse séchée
dry_meat,Viande séchée
dry_skin,Peau séchée
durability,Durabilité
duration_x_hours,Durée: {0:0.0} heures
duration_x_minutes,Durée: {0} minutes
edge_scrolling_camera,Défilement sur les bords Caméra
effects,Effets
efficiency,Efficacité
enable_all,Activer tout
energy,Energie
energy_available,Énergie disponible
energy_consumer,Consommateur d'énergie
energy_consumption,Consommation d'énergie
energy_output,Production d'énergie
energy_production,Energy production
energy_source,Source d'énergie
energy_type,Type d'énergie
equip,Équiper
equipment,Equipment
exit_to_desktop,Retourner au Bureau
exit_to_main_menu,Retourner au Menu Principal
experience_points,Points d'expérience
farm_plot,Parcelle agricole
farming,Agriculture
felling,Abattage
fermenting_pot,Jarre de fermentation
fertilize,Fertiliser
fertilizer,Engrais
fertilizers,Engrais
fertilizing,Fertilisation
fiber,Fibre
fish_trap,Piège à poissons
fishing,Pêche
fishing_place,Zone de pêche
fishing_rod,Canne à pêche
flatbread,Pain plat
flax,Lin
floor,Sol
flour,Farine
flowers,Fleurs
food,Aliments
food_dryer,Séchoir à aliments
food_drying,Séchage des aliments
food_poisoning,Intox alimentaire
food_poisoning_cure,Remède intox alimentaire
food_storage_hut,Hutte de stockage des aliments
food_storage_hut_description,Utilisée pour conserver les aliments. Conserve les aliments frais pendant longtemps
free_up,Free up
freshness,Fraîcheur
fuel,Combustible
fullscreen,Plein écran
future,Futur
game_finished,Partie terminée
game_menu,Menu
gas,Gaz
gather,Ramasser
