key,translation
None,なし
Pick,ツルハシ
a_wild_animal_is_about_to_attack_your_settlement,野生動物があなたの開拓地を攻撃しようとしています！
a_wild_bee_hive_has_appeared_near_you,あなたの近くに野生のミツバチの巣が現れた
accept,承認
achievement_unlocked,New achievement '{0}'!
achievements,Achievements
achievements_unlocked_x_slash_y,Achievements unlocked {0}/{1}
achv_desc_ARE_YOU_SURE_IT_DOESNT_STINK,Cook food using dried manure as fuel
achv_desc_BACK_TO_THE_FUTURE,Start the time machine and go back to the future
achv_desc_BEST_FRIENDS_FOREVER,Send a settler with a dog to hunt
achv_desc_CITY,Have 60 people or more in the settlement
achv_desc_DENIED,Refuse to accept a nomad into the settlement
achv_desc_ENGINE_OF_PROGRESS,Research all technologies
achv_desc_FIRST_BREAD,Bake your first flatbread
achv_desc_FIRST_BRONZE,Smelt your first bronze
achv_desc_FIRST_CERAMIC,Fire your first ceramic pot
achv_desc_FIRST_COPPER,Smelt your first copper
achv_desc_FIRST_IRON,Forge your first iron
achv_desc_HOMEMADE_PRODUCTION,Sell 10 units of bread
achv_desc_I_SURVIVED_100_DAYS,Survive 100 days with at least one settler
achv_desc_MULTITOOL,One of the settlers must equip at least 3 tools
achv_desc_TRIBE,Have 15 people or more in the settlement
achv_desc_VILLAGE,Have 30 people or more in the settlement
achv_name_ARE_YOU_SURE_IT_DOESNT_STINK,Are you sure it doesn't stink?
achv_name_BACK_TO_THE_FUTURE,Back to the future
achv_name_BEST_FRIENDS_FOREVER,Best Friends Forever
achv_name_CITY,City
achv_name_DENIED,Denied
achv_name_ENGINE_OF_PROGRESS,Engine of progress
achv_name_FIRST_BREAD,First bread
achv_name_FIRST_BRONZE,First bronze
achv_name_FIRST_CERAMIC,First ceramic
achv_name_FIRST_COPPER,First copper
achv_name_FIRST_IRON,First iron
achv_name_HOMEMADE_PRODUCTION,Homemade production
achv_name_I_SURVIVED_100_DAYS,I survived 100 days
achv_name_MULTITOOL,Multitool
achv_name_TRIBE,Tribe
achv_name_VILLAGE,Village
adult,大人
age,年齢
agriculture,農業
alcoholic_drinks,アルコール飲料
all,全て
allows_creatures_to_move_faster,生物がより速く移動することが可能
animal_fat,動物油脂
animal_female,メス
animal_filter,動物の選択
animal_male,オス
animal_pen,動物の囲い
animal_pen_description,動物の休息やエサやりに使用
animals,動物
animals_domestication,動物家畜化
assign_a_pet,ペットを割り当て
assign_a_settler,移民を割り当てる
assign_to,{0}に割り当て
assign_x_to_this_hut,この小屋に{0}を割り当てる
assigned_to,{0}に割り当て済み
attack,攻撃
aurochs,野生牛
auto_clean_pen,Auto-clean pen
auto_collect_honey,Automatically collect honey
auto_collect_wild_honey,Automatically collect wild honey
automatically_empty_the_trap,Automatically empty the trap
automatically_mine_spawned_deposits,生成された鉱床を自動的に採掘
autumn,秋
back,戻る
barley,大麦
barley_seeds,大麦の種
barn,牛小屋
base_speed,基本速度
basket,カゴ
bee_hive,ミツバチの巣
bee_hive_description,野生のハチの巣の２倍の効率でハチミツを生産
beekeeping,養蜂
beeswax,蜜ろう
bloomery,塊鉄炉
boar,イノシシ
bone,骨
bone_harpoon,骨の銛
bone_sickle,骨の鎌
bone_spear,骨の槍
bone_tools,骨の道具
bow,弓
brewing,醸造
brick,レンガ
brick_floor,レンガの床
brick_wall,レンガの壁
bridge,桟橋
bronze,青銅
bronze_age,青銅器時代
bronze_axe,青銅の斧
bronze_harpoon,青銅の銛
bronze_hoe,青銅の鍬
bronze_pick,青銅のツルハシ
bronze_sickle,青銅の鎌
bronze_smelting,青銅の製錬
bronze_spear,青銅の槍
build_irrigation_canal,灌漑用水路の建設
building,建物
bunch_of_peas,エンドウ豆の束
burial,埋葬
buying,購入
calm,穏やか
cancel,キャンセル
cancel_x,Cancel: {0}
capacity,収容可能
catch_fish,Catch fish
cattle,牛
causes,誘発
ceramic_pot,陶磁器の壺
chainmail,チェインメイル
chalcolithic,金石併用時代
chance,チャンス
charcoal,木炭
charcoal_kiln,炭焼き窯
cheese,チーズ
cheesemaking,チーズ製造
child,子ども
chop,伐採
clay,粘土
clay_barn,粘土製の倉庫
clay_deposit,粘土鉱床
clay_hut,粘土製の小屋
clay_oven,粘土製のかまど
clone,複製
close,閉じる
cloth,布
clothes,衣類
come_here,こっちに来い
command_line,コマンドライン
connected,接続中
consumption,消費
containers,容器
cooked_fish,調理した魚
cooked_meat,調理した肉
cooking,調理
copper,銅
copper_axe,銅の斧
copper_deposit,銅鉱床
copper_harpoon,銅の銛
copper_hoe,銅の鍬
copper_ore,銅鉱石
copper_pick,銅のツルハシ
copper_reaper,銅の刈り取り機
copper_sickle,銅の鎌
copper_smelting,銅の精錬
copper_smithy,銅鍛冶場
copper_spear,銅の槍
copy,コピー
copy_settings,設定コピー
cozy_hut,居心地の良い小屋
cozy_tent,居心地の良いテント
craft_an_item,Craft an item
crafter,製作台
crafting,クラフト
create,創造
credits,クレジット
crossbow,クロスボウ
crushed_copper_ore,破砕済み銅鉱石
crushed_iron_ore,破砕済み鉄鉱石
crushed_tin_ore,破砕済み錫鉱石
culinary_ingredients,料理の材料
cures,治療
cut,収穫
cut_automatically,自動収穫
cut_completely,完全に収穫
cut_now,すぐに収穫
dandelion,タンポポ
day,日数
days,日間
days_until_aging_x,世代変更まで: {0} 日
days_until_death_x,死亡まで: {0} 日
decline,拒否
defense,防御
depends_on_wind_speed,風速により異なります
deposit,貯蔵量
destruct,破壊
destruct_irrigation_canal,灌漑用水路の破壊
destruct_surface,路面の破壊
dirt_path,土砂の道
dirty_animal_pen,汚れた動物の囲い
disable_all,全て無効
disband,解散
disconnected,切断中
dog,犬
dolmen,巨石墓
domesticate,飼いならす
domestication_chance_x_percent,Domestication chance: {0}%
drop_spindle,糸紡ぎ機
dry_fish,干した魚
dry_manure_fuel,乾燥肥料燃料
dry_meat,干し肉
dry_skin,乾燥した皮
durability,日持ち
duration_x_hours,持続時間: {0:0.0} 時間
duration_x_minutes,持続時間: {0} 分
edge_scrolling_camera,画面端でスクロール
effects,効果
efficiency,効率
enable_all,全て有効
energy,活力
energy_available,利用可能エネルギー
energy_consumer,エネルギー消費
energy_consumption,エネルギー消費
energy_output,エネルギー出力
energy_production,エネルギー生産
energy_source,エネルギー源
energy_type,エネルギーの種類
equip,装備
equipment,装備
exit_to_desktop,デスクトップへ戻る
exit_to_main_menu,メインメニューへ戻る
experience_points,経験値
farm_plot,農場区画
farming,農業
felling,伐採
fermenting_pot,発酵用の壺
fertilize,肥料
fertilizer,肥料
fertilizers,肥料
fertilizing,施肥
fiber,繊維
fish_trap,魚用の罠
fishing,魚釣り
fishing_place,釣り場
fishing_rod,釣り竿
flatbread,板パン
flax,亜麻
floor,路面
flour,小麦粉
flowers,花
food,食糧
food_dryer,食品乾燥機
food_drying,食品乾燥
food_poisoning,食中毒
food_poisoning_cure,食中毒の治療薬
food_storage_hut,食糧貯蔵小屋
