key,translation
None,None
Pick,Кирка
a_wild_animal_is_about_to_attack_your_settlement,Дикое животное собирается напасть на ваше поселение!
a_wild_bee_hive_has_appeared_near_you,Рядом с вами появился дикий пчелиный улей
accept,Принять
achievement_unlocked,Новое достижение '{0}'!
achievements,Достижения
achievements_unlocked_x_slash_y,Получено достижений {0}/{1}
achv_desc_ARE_YOU_SURE_IT_DOESNT_STINK,"Приготовьте еду, используя высушенный навоз как топливо"
achv_desc_BACK_TO_THE_FUTURE,Запустите машину времени и вернитесь в будущее
achv_desc_BEST_FRIENDS_FOREVER,Отправьте поселенца с собакой на охоту
achv_desc_CITY,Имейте 60 или более человек в поселении
achv_desc_DENIED,Откажитесь принять кочевника в поселение
achv_desc_ENGINE_OF_PROGRESS,Исследуйте все технологии
achv_desc_FIRST_BREAD,Испеките свой первый хлеб
achv_desc_FIRST_BRONZE,Выплавьте свою первую бронзу
achv_desc_FIRST_CERAMIC,Обожгите свой первый керамический горшок
achv_desc_FIRST_COPPER,Выплавьте свою первую медь
achv_desc_FIRST_IRON,Выкуйте свое первое железо
achv_desc_HOMEMADE_PRODUCTION,"Продайте 10 единиц хлеба, сыра, шерстяной ткани, кувшин вина и соты на торговом посту одновременно"
achv_desc_I_SURVIVED_100_DAYS,Проживите 100 дней хотя бы с одним поселенцем
achv_desc_MULTITOOL,Один из поселенцев должен экипировать как минимум 3 инструмента
achv_desc_TRIBE,Имейте 15 или более человек в поселении
achv_desc_VILLAGE,Имейте 30 или более человек в поселении
achv_name_ARE_YOU_SURE_IT_DOESNT_STINK,"Вы уверены, что это не воняет?"
achv_name_BACK_TO_THE_FUTURE,В гостях хорошо
achv_name_BEST_FRIENDS_FOREVER,Человек собаке друг
achv_name_CITY,Город
achv_name_DENIED,Отказано
achv_name_ENGINE_OF_PROGRESS,Двигатель прогресса
achv_name_FIRST_BREAD,Первый хлеб
achv_name_FIRST_BRONZE,Первая бронза
achv_name_FIRST_CERAMIC,Первая керамика
achv_name_FIRST_COPPER,Первая медь
achv_name_FIRST_IRON,Первое железо
achv_name_HOMEMADE_PRODUCTION,Домашнее производство
achv_name_I_SURVIVED_100_DAYS,Я выжил 100 дней!
achv_name_MULTITOOL,Мультитул
achv_name_TRIBE,Племя
achv_name_VILLAGE,Деревня
adult,Взрослый
age,Возраст
agriculture,Земледелие
alcoholic_drinks,Алкогольные напитки
all,Все
allows_creatures_to_move_faster,Позволяет поселенцам перемещаться быстрее
animal_fat,Животный жир
animal_female,Самка
animal_filter,Фильтр животных
animal_male,Самец
animal_pen,Загон для животных
animal_pen_description,Используется для отдыха и подкормки животных
animals,Животные
animals_domestication,Одомашнивание животных
assign_a_pet,Назначить питомца
assign_a_settler,Назначить поселенца
assign_to,Закрепить за {0}
assign_x_to_this_hut,Назначить {0} к этой хижине
assigned_to,Закреплен за {0}
attack,Атаковать
aurochs,Тур
auto_clean_pen,Авто-чистка загона
auto_collect_honey,Автоматически собирать мед
auto_collect_wild_honey,Автоматически собирать дикий мед
auto_harvest,Авто-сбор урожая
automatically_empty_the_trap,Автоматически опустошать ловушку
automatically_mine_spawned_deposits,Automatically mine spawned deposits
autumn,Осень
back,Назад
barley,Ячмень
barley_seeds,Семена ячменя
barn,Хлев
base_speed,Базовая скорость
basket,Корзина
bee_hive,Пчелиный улей
bee_hive_description,Производит мед в 2 раза эффективнее дикого улья
beekeeping,Пчеловодство
beeswax,Пчелиный воск
bloomery,Сыродутная печь
boar,Кабан
bone,Кость
bone_harpoon,Костяной гарпун
bone_sickle,Костяной серп
bone_spear,Костяное копье
bone_tools,Костяные инструменты
bow,Лук
brewing,Пивоварение
brick,Кирпич
brick_floor,Кирпичный пол
brick_wall,Кирпичная стена
bridge,Мост
bronze,Бронза
bronze_age,Бронзовый век
bronze_axe,Бронзовый топор
bronze_harpoon,Бронзовый гарпун
bronze_hoe,Бронзовая мотыга
bronze_pick,Бронзовая кирка
bronze_sickle,Бронзовый серп
bronze_smelting,Выплавка бронзы
bronze_spear,Бронзовое копье
build_irrigation_canal,Построить оросительный канал
building,Строительство
bunch_of_peas,Связка гороха
burial,Захоронение
buying,Покупка
calm,Безветренно
cancel,Отменить
cancel_x,Отменить: {0}
capacity,Вместимость
catch_fish,Ловить рыбу
cattle,Корова
causes,Вызывает
ceramic_pot,Керамический горшок
chainmail,Кольчуга
chalcolithic,Халколит
chance,Шанс
charcoal,Уголь
charcoal_kiln,Углевыжигательная печь
cheese,Сыр
cheesemaking,Сыроделие
child,Ребенок
chop,Срубить
clay,Глина
clay_barn,Глиняный амбар
clay_deposit,Залежь глины
clay_hut,Глиняная хижина
clay_oven,Глиняная печь
clone,Клонировать
close,Закрыть
cloth,Ткань
clothes,Одежда
come_here,Отправиться сюда
command_line,командная строка
connected,Подключен
consumption,Потребление
containers,Контейнеры
cooked_fish,Жареная рыба
cooked_meat,Жареное мясо
cooking,Готовка
copper,Медь
copper_axe,Медный топор
copper_deposit,Залежь меди
copper_harpoon,Медный гарпун
copper_hoe,Медная мотыга
copper_ore,Медная руда
copper_pick,Медная кирка
copper_reaper,Медная жатвенная машина
copper_sickle,Медный серп
copper_smelting,Выплавка меди
copper_smithy,Медная кузница
copper_spear,Медное копье
copy,Копировать
copy_settings,Копировать настройки
cozy_hut,Уютная хижина
cozy_tent,Уютное укрытие
craft_an_item,Крафтить предмет
crafter,Крафтер
crafting,Производство
create,Создать
credits,Создатели
crossbow,Арбалет
crushed_copper_ore,Дробл. медная руда
crushed_iron_ore,Дробл. железная руда
crushed_tin_ore,Дробл. оловянная руда
culinary_ingredients,Кулинарные ингредиенты
cures,Лечит
cut,Срезать
cut_automatically,Срезать автоматически
cut_completely,Срезать полностью
cut_now,Срезать сейчас
dandelion,Одуванчик
day,День
days,дней
days_until_aging_x,Дней до взросления: {0}
