key,translation
None,None
Pick,Topla
a_wild_animal_is_about_to_attack_your_settlement,Vahsi bir hayvan koyüne saldirmak üzere
a_wild_bee_hive_has_appeared_near_you,Yakininizda bir ari kovani belirlendi
accept,Kabul et
achievement_unlocked,New achievement '{0}'!
achievements,Achievements
achievements_unlocked_x_slash_y,Achievements unlocked {0}/{1}
achv_desc_ARE_YOU_SURE_IT_DOESNT_STINK,Cook food using dried manure as fuel
achv_desc_BACK_TO_THE_FUTURE,Start the time machine and go back to the future
achv_desc_BEST_FRIENDS_FOREVER,Send a settler with a dog to hunt
achv_desc_CITY,Have 60 people or more in the settlement
achv_desc_DENIED,Refuse to accept a nomad into the settlement
achv_desc_ENGINE_OF_PROGRESS,Research all technologies
achv_desc_FIRST_BREAD,Bake your first flatbread
achv_desc_FIRST_BRONZE,Smelt your first bronze
achv_desc_FIRST_CERAMIC,Fire your first ceramic pot
achv_desc_FIRST_COPPER,Smelt your first copper
achv_desc_FIRST_IRON,Forge your first iron
achv_desc_HOMEMADE_PRODUCTION,Sell 10 units of bread
achv_desc_I_SURVIVED_100_DAYS,Survive 100 days with at least one settler
achv_desc_MULTITOOL,One of the settlers must equip at least 3 tools
achv_desc_TRIBE,Have 15 people or more in the settlement
achv_desc_VILLAGE,Have 30 people or more in the settlement
achv_name_ARE_YOU_SURE_IT_DOESNT_STINK,Are you sure it doesn't stink?
achv_name_BACK_TO_THE_FUTURE,Back to the future
achv_name_BEST_FRIENDS_FOREVER,Best Friends Forever
achv_name_CITY,City
achv_name_DENIED,Denied
achv_name_ENGINE_OF_PROGRESS,Engine of progress
achv_name_FIRST_BREAD,First bread
achv_name_FIRST_BRONZE,First bronze
achv_name_FIRST_CERAMIC,First ceramic
achv_name_FIRST_COPPER,First copper
achv_name_FIRST_IRON,First iron
achv_name_HOMEMADE_PRODUCTION,Homemade production
achv_name_I_SURVIVED_100_DAYS,I survived 100 days
achv_name_MULTITOOL,Multitool
achv_name_TRIBE,Tribe
achv_name_VILLAGE,Village
adult,Yetiskin
age,Yas
agriculture,Tarim
alcoholic_drinks,Alkollü icecekler
all,Hepsi
allows_creatures_to_move_faster,Yerliler daha hizli hareket eder
animal_fat,Animal fat
animal_female,Kadin
animal_filter,Hayvan filtresi
animal_male,Erkek
animal_pen,Hayvan agili
animal_pen_description,Hayvanlarin beslenmesi ve dinlenmesi icin kullanilir
animals,Hayvanlar
animals_domestication,Hayvan evcillestirme
assign_a_pet,Assign a pet
assign_a_settler,Assign a settler
assign_to,Assign to {0}
assign_x_to_this_hut,Assign {0} to this hut
assigned_to,Assigned to {0}
attack,Saldir
aurochs,Yaban oküzü
auto_clean_pen,Auto-clean pen
auto_collect_honey,Automatically collect honey
auto_collect_wild_honey,Automatically collect wild honey
auto_harvest,Auto-harvest
automatically_empty_the_trap,Automatically empty the trap
automatically_mine_spawned_deposits,Kaynaklar otomatik olarak olusturulacak
autumn,Sonbahar
back,Geri
barley,Arpa
barley_seeds,Arpa tohumu
barn,Ahir
base_speed,Temel hiz
basket,Sepet
bee_hive,Ari kovani
bee_hive_description,Yabani ari kovanindan iki kat verimli bal üretir
beekeeping,Aricilik
beeswax,Balmumu
bloomery,Eritme firini
boar,Yaban domuzu
bone,Kemik
bone_harpoon,Kemik zipkin
bone_sickle,Kemik orak
bone_spear,Kemik mizrak
bone_tools,Kemikten aletler
bow,Yay
brewing,Alkol yapimi
brick,Tugla
brick_floor,Tugla zemin
brick_wall,Tugla duvar
bridge,Koprü
bronze,Bronz
bronze_age,Bronz cagi
bronze_axe,Bronz balta
bronze_harpoon,Bronz zipkin
bronze_hoe,Bronz capa
bronze_pick,Bronz kazma
bronze_sickle,Bronz orak
bronze_smelting,Bronz eritme
bronze_spear,Bronz mizrak
build_irrigation_canal,Sulama kanali insa et
building,Insa etmek
bunch_of_peas,Bir avuc bezelye
burial,Cenaze
buying,Satin al
calm,Sakin
cancel,Iptal et
cancel_x,Cancel: {0}
capacity,Kapasite
catch_fish,Catch fish
cattle,Sigirlar
causes,Nedenler
ceramic_pot,Seramik comlek
chainmail,Zincir zirh
chalcolithic,Kaltolitik
chance,sans
charcoal,Odun komürü
charcoal_kiln,Odun firini
cheese,Peynir
cheesemaking,Peynir yapimi
child,cocuk
chop,Bic
clay,Kil
clay_barn,Kil depo
clay_deposit,Kil yatagi
clay_hut,Kil kulübe
