key,translation
None,None
Pick,Кайло
a_wild_animal_is_about_to_attack_your_settlement,Дикa тварина збирається напасти на ваше поселення!
a_wild_bee_hive_has_appeared_near_you,Поряд з вами з'явився дикий бджолиний вулик
accept,Погодитись
achievement_unlocked,Нове досягнення '{0}'!
achievements,Досягнення
achievements_unlocked_x_slash_y,Отримано досягнень {0}/{1}
achv_desc_ARE_YOU_SURE_IT_DOESNT_STINK,Cook food using dried manure as fuel
achv_desc_BACK_TO_THE_FUTURE,Start the time machine and go back to the future
achv_desc_BEST_FRIENDS_FOREVER,Send a settler with a dog to hunt
achv_desc_CITY,Have 60 people or more in the settlement
achv_desc_DENIED,Refuse to accept a nomad into the settlement
achv_desc_ENGINE_OF_PROGRESS,Research all technologies
achv_desc_FIRST_BREAD,Bake your first flatbread
achv_desc_FIRST_BRONZE,Smelt your first bronze
achv_desc_FIRST_CERAMIC,Fire your first ceramic pot
achv_desc_FIRST_COPPER,Smelt your first copper
achv_desc_FIRST_IRON,Forge your first iron
achv_desc_HOMEMADE_PRODUCTION,Sell 10 units of bread
achv_desc_I_SURVIVED_100_DAYS,Survive 100 days with at least one settler
achv_desc_MULTITOOL,One of the settlers must equip at least 3 tools
achv_desc_TRIBE,Have 15 people or more in the settlement
achv_desc_VILLAGE,Have 30 people or more in the settlement
achv_name_ARE_YOU_SURE_IT_DOESNT_STINK,Are you sure it doesn't stink?
achv_name_BACK_TO_THE_FUTURE,Back to the future
achv_name_BEST_FRIENDS_FOREVER,Best Friends Forever
achv_name_CITY,City
achv_name_DENIED,Denied
achv_name_ENGINE_OF_PROGRESS,Engine of progress
achv_name_FIRST_BREAD,First bread
achv_name_FIRST_BRONZE,First bronze
achv_name_FIRST_CERAMIC,First ceramic
achv_name_FIRST_COPPER,First copper
achv_name_FIRST_IRON,First iron
achv_name_HOMEMADE_PRODUCTION,Homemade production
achv_name_I_SURVIVED_100_DAYS,I survived 100 days
achv_name_MULTITOOL,Multitool
achv_name_TRIBE,Tribe
achv_name_VILLAGE,Village
adult,Дорослий
age,Вік
agriculture,Землеробство
alcoholic_drinks,Алкогольні напої
all,Усі
allows_creatures_to_move_faster,Дозволяє швидше пересуватись жителям
animal_fat,Тваринний жир
animal_female,Самка
animal_filter,Фільтр тваринок
animal_male,Самець
animal_pen,Загін для тваринок
animal_pen_description,Використовується для відпочинку та годування тваринок
animals,Тваринки
animals_domestication,Одомашнення тварин
assign_a_pet,Призначити вихованця
assign_a_settler,Призначити поселенця
assign_to,Закріпити за {0}
assign_x_to_this_hut,Призначить {0} до цього будинку
assigned_to,Закріплений за {0}
attack,Атакувати
aurochs,Тур
auto_clean_pen,Auto-clean pen
auto_collect_honey,Automatically collect honey
auto_collect_wild_honey,Automatically collect wild honey
auto_harvest,Auto-harvest
automatically_empty_the_trap,Automatically empty the trap
automatically_mine_spawned_deposits,Автоматично добувати поклади
autumn,Осінь
back,Повернутись
barley,Ячмінь
barley_seeds,Зерно ячменю
barn,Загін
base_speed,Базова швидкість
basket,Кошик
bee_hive,Бджолиний вулик
bee_hive_description,Виробляє мід в 2 рази ефективніше ніж дикий вулик
beekeeping,Бджолярство
beeswax,Бджолиний віск
bloomery,Доменна піч
boar,Кабан
bone,Кістка
bone_harpoon,Костяний гарпун
bone_sickle,Костяний серп
bone_spear,Кістяний спис
bone_tools,Кісткові інструменти
bow,Лук
brewing,Пивоваріння
brick,Цегла
brick_floor,Цегляна підлога
brick_wall,Цегляна стіна
bridge,Міст
bronze,Бронза
bronze_age,Бронзовий вік
bronze_axe,Бронзова сокира
bronze_harpoon,Бронзовий гарпун
bronze_hoe, Бронзова мотика
bronze_pick,Бронзове кайло
bronze_sickle,Бронзовий серп
bronze_smelting,Виплавлення бронзи
bronze_spear,Бронзовий спис
build_irrigation_canal,Побудувати орошувальний канал
building,Будівництво
bunch_of_peas,Зв'язування гороху
burial,Поховання
buying,Покупка
calm,Безвітряно
cancel,Відмінити
cancel_x,Cancel: {0}
capacity,Місткість
catch_fish,Catch fish
cattle,Корова
causes,Викликає
ceramic_pot,Керамічний горщик
chainmail,Кільчуга
chalcolithic,Халколіт
chance,Шанс
charcoal,Вугілля
charcoal_kiln,Вуглевипалювальна піч
cheese,Сир
cheesemaking,Сироваріння
child,Дитина
chop,Зрубати
clay,Глина
clay_barn,Глиняна комора
clay_deposit,Родовище глини
clay_hut,Глиняна хатинка
clay_oven,Глиняна піч
clone,Клонувати
close,Зачинити
cloth,Тканина
clothes,Одяг
come_here,Піти сюди
command_line,командна лінія
connected,Під'єднаний
construct,Construct
consumption,Споживання
containers,Контейнери
cooked_fish,Смажена риба
cooked_meat,Смажене мясо
cooking,Куховарство
copper,Мідь
copper_axe,Мідна сокира
copper_deposit,Родовище міді
copper_harpoon,Мідний гарпун
copper_hoe,Мідна мотика
copper_ore,Мідна руда
copper_pick,Мідне кайло
copper_reaper,Мідна жатка
copper_sickle,Мідний серп
copper_smelting,Виплавлення міді
copper_smithy,Мідна кузня
copper_spear,Мідний спис
copy,Копіювати
copy_settings,Копіювати налаштування
cozy_hut,Затишна хатина
cozy_tent,Затишне укриття
craft_an_item,Craft an item
crafter,Крафтер
crafting,Виробництво
create,Створити
credits,Розробники
crossbow,Арбалет
crushed_copper_ore,Подрібн.мідна руда
crushed_iron_ore,Подрібн.залізна руда
crushed_tin_ore,Подрібн.оловяна руда
culinary_ingredients,Кулінарні інгредієнти
cures,Лікує
cut,Зрізати
cut_automatically,Зрізати автоматично
cut_completely,Зрізати повністю
cut_now,Зрізати вже
dandelion,Кульбабка
day,День
days,днів
days_until_aging_x,Днів до дорослішання: {0}
days_until_death_x,Днів до смерті: {0}
decline,Відмінити
defense,Захист
depends_on_wind_speed,Залежить від швидкості вітру
deposit,Родовище
destruct,Зруйнувати
destruct_irrigation_canal,Зруйнувати орошувальний канал
destruct_surface,Зруйнувати покриття
destruct_wall,Destruct wall
dirt_path,Грунтова стежина
dirty_animal_pen,Брудний загін
disable_all,Заборонити все
disband,Розпустити
disconnected,Від'єднаний
dog,Собака
dolmen,Дольмен
domesticate,Приручити
domestication_chance_x_percent,Domestication chance: {0}%
drop_spindle,Веретено
dry_fish,Сушена риба
dry_manure_fuel,Кізяк
dry_meat,Сушене мясо
dry_skin,Сушена шкіра
durability,Міцність
duration_x_hours,Тривалість: {0:0.0} годин
duration_x_minutes,Тривалість: {0} хвилин
edge_scrolling_camera,Прокрутка камери по краю екрану
effects,Ефекти
efficiency,Ефективність
enable_all,Дозволити все
energy,Енергія
energy_available,Доступна енергія
energy_consumer,Споживач живлення
energy_consumption,Споживання енергії
energy_output,Вироблення енергії
energy_production,Виробництво енергії
energy_source,Джерело живлення
energy_type,Тип енергії
equip,Екіпірувати
equipment,Екіпірування
exit_to_desktop,Вийти на робочий стіл
exit_to_main_menu,Вийти в головне меню
experience_points,Досвід
farm_plot,Фермерська ділянка
farming,Землеробство
felling,Вирубка
fermenting_pot,Казан для бродіння
fertilize,Удобрювати
fertilizer,Добриво
fertilizers,Добриво
fertilizing,Добриво
fiber,Волокно
fish_trap,Пастка для риб
fishing,Риболовля
fishing_place,Місце для рибальства
fishing_rod,Вудочка
flatbread,Паляниця
flax,Льон
floor,Підлога
flour,Мука
flowers,Квіти
food,Їжа
food_dryer,Сушарка для їжі
food_drying,Сушіння їжі
food_poisoning,Харчове отруєння
food_poisoning_cure,Ліки від харчового отруєння
food_storage_hut,Комора для зберігання їжі
food_storage_hut_description,Використовується для зберігання їжі. Зберігає їжу свіжою на протязі довшого часу
free_up,Звільнить
freshness,Свіжість
fuel,Паливо
fullscreen,Повноекранний режим
future,Майбутнє
game_finished,Гра завершена
game_menu,Меню
gas,Gas
gather,Збирати
gather_stone,Gather stone
gather_wood,Gather wood
gathering,Збираня
gathering_labor,Gathering
grain_processing,Обробка зерна
grape,Виноград
grape_bush,Кущ винограду
grave,Могилка
growth_progress,Прогрес росту
growth_speed,Швидкість росту
happiness,Щастя
harvesting,Збирання врожаю
has_joined_your_settlement,{0} приєднався до вашого поселення
hauling,Транспортування
hay,Сіно
haystack,Стіг сіна
haystack_description,Використовується для зберігання сіна
health,Здоров'я
hearth,Ватра
herbalist_table,Стіл травника
herbalist_table_description,Використовується для створення примітивних ліків
honey,Мід
honeycomb,Медовий стільник
horse,Кінь
hours,Годин
hunger,Голод
hunt,Полювати
hunting,Мисливство
hut,Хатина
information,Інформація
ingredients,Інгредієнти
inventory,інвентар
iron,Залізо
iron_age,Залізний вік
iron_axe,Залізна сокира
iron_bloom,Криця
iron_deposit,Родовище заліза
iron_harpoon,Залізний гарпун
iron_hoe,Залізна мотика
iron_ore,Залізна руда
iron_pick,Залізне кайло
iron_sickle,Залізний серп
iron_smelting,Виплавлення заліза
iron_smithy,Залізна кузня
