key,translation
None,None
Pick,掘
a_wild_animal_is_about_to_attack_your_settlement,野生动物即将攻击您的聚落！
a_wild_bee_hive_has_appeared_near_you,你附近有一个野生蜂巢。
accept,同意
achievement_unlocked,New achievement '{0}'!
achievements,Achievements
achievements_unlocked_x_slash_y,Achievements unlocked {0}/{1}
achv_desc_ARE_YOU_SURE_IT_DOESNT_STINK,Cook food using dried manure as fuel
achv_desc_BACK_TO_THE_FUTURE,Start the time machine and go back to the future
achv_desc_BEST_FRIENDS_FOREVER,Send a settler with a dog to hunt
achv_desc_CITY,Have 60 people or more in the settlement
achv_desc_DENIED,Refuse to accept a nomad into the settlement
achv_desc_ENGINE_OF_PROGRESS,Research all technologies
achv_desc_FIRST_BREAD,Bake your first flatbread
achv_desc_FIRST_BRONZE,Smelt your first bronze
achv_desc_FIRST_CERAMIC,Fire your first ceramic pot
achv_desc_FIRST_COPPER,Smelt your first copper
achv_desc_FIRST_IRON,Forge your first iron
achv_desc_HOMEMADE_PRODUCTION,Sell 10 units of bread
achv_desc_I_SURVIVED_100_DAYS,Survive 100 days with at least one settler
achv_desc_MULTITOOL,One of the settlers must equip at least 3 tools
achv_desc_TRIBE,Have 15 people or more in the settlement
achv_desc_VILLAGE,Have 30 people or more in the settlement
achv_name_ARE_YOU_SURE_IT_DOESNT_STINK,Are you sure it doesn't stink?
achv_name_BACK_TO_THE_FUTURE,Back to the future
achv_name_BEST_FRIENDS_FOREVER,Best Friends Forever
achv_name_CITY,City
achv_name_DENIED,Denied
achv_name_ENGINE_OF_PROGRESS,Engine of progress
achv_name_FIRST_BREAD,First bread
achv_name_FIRST_BRONZE,First bronze
achv_name_FIRST_CERAMIC,First ceramic
achv_name_FIRST_COPPER,First copper
achv_name_FIRST_IRON,First iron
achv_name_HOMEMADE_PRODUCTION,Homemade production
achv_name_I_SURVIVED_100_DAYS,I survived 100 days
achv_name_MULTITOOL,Multitool
achv_name_TRIBE,Tribe
achv_name_VILLAGE,Village
adult,成年
age,年龄
agriculture,农业
alcoholic_drinks,酒精饮料
all,全部
allows_creatures_to_move_faster,加快移動速度。
animal_fat,动物脂肪
animal_female,母
animal_filter,筛选动物
animal_male,公
animal_pen,畜栏
animal_pen_description,让动物吃饭及休息。
animals,动物
animals_domestication,驯化动物
assign_a_pet,指派宠物
assign_a_settler,Assign a settler
assign_to,指派给 {0}
assign_x_to_this_hut,Assign {0} to this hut
assigned_to,已指派给 {0}
attack,攻击
aurochs,原牛
auto_clean_pen,Auto-clean pen
auto_collect_honey,Automatically collect honey
auto_collect_wild_honey,Automatically collect wild honey
automatically_empty_the_trap,Automatically empty the trap
automatically_mine_spawned_deposits,自动开采生成的矿物。
autumn,秋
back,返回
barley,大麦
barley_seeds,大麦种子
barn,谷仓
base_speed,基础速度
basket,篮子
bee_hive,蜂巢
bee_hive_description,生产蜂蜜的效率是野生蜂巢的两倍。
beekeeping,养蜂
beeswax,蜂蜡
bloomery,锻造炉
boar,野猪
bone,骨头
bone_harpoon,骨鱼叉
bone_sickle,骨镰刀
bone_spear,骨矛
bone_tools,骨制工具
bow,弓
brewing,酿造
brick,砖块
brick_floor,砖地板
brick_wall,砖墙
bridge,桥梁
bronze,青铜錠
bronze_age,青铜时代
bronze_axe,青铜斧
bronze_harpoon,青铜鱼叉
bronze_hoe,青铜锄头
bronze_pick,青铜镐
bronze_sickle,青铜镰刀
bronze_smelting,冶炼青铜矿
bronze_spear,青铜矛
build_irrigation_canal,修建水渠
building,建造
bunch_of_peas,一把豌豆
burial,葬礼
buying,购买
calm,平靜
cancel,取消
cancel_x,Cancel: {0}
capacity,容量
catch_fish,Catch fish
cattle,牛
causes,原因
ceramic_pot,陶罐
chainmail,链甲
chalcolithic,红铜时代
chance,机会
charcoal,木炭
charcoal_kiln,炭窯
cheese,奶酪
cheesemaking,制作奶酪
child,幼年
chop,砍伐
clay,黏土
clay_barn,黏土仓库
clay_deposit,黏土矿床
clay_hut,黏土屋
clay_oven,黏土窯炉
clone,复制
close,关
cloth,布料
clothes,服装
come_here,来这里
command_line,指令列
connected,已连接
consumption,消耗
containers,容器
cooked_fish,熟鱼
cooked_meat,熟肉
cooking,料理
copper,铜錠
copper_axe,铜斧
copper_deposit,铜矿床
copper_harpoon,铜鱼叉
copper_hoe,铜锄头
copper_ore,铜矿
copper_pick,铜镐
copper_reaper,铜收割机
copper_sickle,铜镰刀
copper_smelting,冶炼铜矿
copper_smithy,铜锻造场
copper_spear,铜矛
copy,复制
copy_settings,复制设定
cozy_hut,舒适的小屋
cozy_tent,舒适的帐篷
craft_an_item,Craft an item
crafter,制作台
crafting,制造
create,创造
credits,制作人员
crossbow,弩
crushed_copper_ore,碎铜矿
crushed_iron_ore,碎铁矿
crushed_tin_ore,碎錫矿
culinary_ingredients,料理食材
cures,治疗
cut,收割
cut_automatically,自动收割
cut_completely,完全收割
cut_now,现在收割
dandelion,蒲公英
day,天
days,天
days_until_aging_x,离增龄还有: {0} 天
days_until_death_x,离死亡还有: {0} 天
decline,衰退
defense,防御
depends_on_wind_speed,取决于风速。
deposit,矿床
destruct,拆除
destruct_irrigation_canal,拆除水渠
destruct_surface,拆除地板
dirt_path,土路
dirty_animal_pen,肮脏的畜栏
